"CAS","DTXSID","name","mw","log.kow","water.sol.mg.l","half.air.hr","half.sediment.hr","vp.pa","kp","fabs"
"14852-17-6","DTXSID8065824","1,2-Ethanediamine, phosphate",158.094,-0.307484,205009.97544,6.02,3240,0.00011971270710641,0.000108237103733273,0.960058811005212
"14852-31-4","DTXSID80871235","2-hexadecanol",242.447,6.89483,0.023550816686,9.53,3240,0.003744399319867,0.0237511717584292,0.919641755250346
"148553-50-8","DTXSID1045950","Pregabalin",159.229,-1.99108,137822.730927,6.29,3240,1.491397583496,5.1689575506277e-05,0.333796023043616
"14857-34-2","DTXSID0051734","Ethoxydimethylsilane",104.224,2.38564,11121.951488,39.7,3240,16093.07905212,0.0436260996284939,0.999660699753353
"14857-92-2","DTXSID50933430","3-[Dimethoxy(methyl)silyl]-2-methylpropane-1-thiol",194.36,2.60688,3176.600404,5.39,3240,481.4751463504,0.0135538897776394,0.99969234494434
"14857-97-7","DTXSID90164009","3-(Methoxydimethylsilyl)propanethiol",164.34,3.0244,1143.0964512,5.67,3240,1918.122557169,0.0331746368795794,0.999716184733938
"14858-73-2","DTXSID60864544","Bis(2-ethylhexyl) carbonate",286.456,6.54821,5.7294923928,11.8,3240,0.008304838324446,0.0171206608686307,0.962023917365792
"14858-73-2","DTXSID60864544","Bis(2-ethylhexyl) carbonate",286.456,6.54821,5.7294923928,11.8,3240,0.008304838324446,0.0171206608686307,0.962023917365792
"14858-73-2","DTXSID60864544","Bis(2-ethylhexyl) carbonate",286.456,6.54821,5.7294923928,11.8,3240,0.008304838324446,0.0171206608686307,0.962023917365792
"14858-73-2","DTXSID60864544","Bis(2-ethylhexyl) carbonate",286.456,6.54821,5.7294923928,11.8,3240,0.008304838324446,0.0171206608686307,0.962023917365792
"14858-73-2","DTXSID60864544","Bis(2-ethylhexyl) carbonate",286.456,6.54821,5.7294923928,11.8,3240,0.008304838324446,0.0171206608686307,0.962023917365792
"14858-73-2","DTXSID60864544","Bis(2-ethylhexyl) carbonate",286.456,6.54821,5.7294923928,11.8,3240,0.008304838324446,0.0171206608686307,0.962023917365792
"14858-73-2","DTXSID60864544","Bis(2-ethylhexyl) carbonate",286.456,6.54821,5.7294923928,11.8,3240,0.008304838324446,0.0171206608686307,0.962023917365792
"14858-73-2","DTXSID60864544","Bis(2-ethylhexyl) carbonate",286.456,6.54821,5.7294923928,11.8,3240,0.008304838324446,0.0171206608686307,0.962023917365792
"1486-28-8","DTXSID30164028","Methyldiphenylphosphine",200.221,3.78879,19.8595605922,63.6,3240,0.3238374188622,0.0307516362873386,0.999675643524623
"1486-51-7","DTXSID00164030","4-Benzyloxybenzoic acid",228.247,3.0343,42.947183767,13.5,8100,6.877262169043e-05,0.0142421405941221,0.999716347924815
"1486-75-5","DTXSID20880669","cyclododecene, (e)-",166.308,5.57872,0.089770730088,1,3240,1.3242019738687,0.0496458319438864,0.995559175240409
"14860-49-2","DTXSID2022838","Clobutinol",255.79,2.336,348.6366542,2.72,13000,0.005579848662997,0.00325247405034777,0.999650848158093
"14860-53-8","DTXSID3029732","Phosphonic acid, (1-hydroxyethylidene)bis-, tetrapotassium salt",358.388,-0.519027,1088212.90708,1.32,3240,1.2715742936401e-08,1.73839364081647e-05,0.936721326939658
